Scientific Name,AGCP,AW,CB,EMP,GP,HI,MW,NCNE,WMVC,AK,Common Name,Id,Symbol,RankId,AcceptedId,HasSynonyms,HasSubordinateTaxa,HasWildlife,HasWetlandData,HasImages,HasRelatedLinks,HasLegalStatuses,HasNoxiousStatuses,HasDocumentation,HasDistributionData,NumImages,ProfileImageFilename,ImageId,HasInvasiveStatuses,HasCharacteristics,PlantLocationId,HasEthnobotany,HasPollinator,ScientificSort,Active Growth Period,Coppice Potential,Fall Conspicuous,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height at 20 Years, Maximum (feet)","Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Fine Textured Soils,Adapted to Medium Textured Soils,Anaerobic Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,"pH, Maximum","pH, Minimum","Precipitation, Maximum","Precipitation, Minimum","Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Vegetative Spread Rate,Nursery Stock Product
Abelmoschus moschatus,,,UPL,,,FAC,,,,,Musk Okra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies amabilis,,FACU,,,,,,,FACU,UPL,Pacific Silver Fir,15308.0,ABAM,0.0,15308.0,False,False,False,False,False,False,False,False,False,False,16.0,abam_001_thp.jpg,0.0,False,False,0.0,False,False,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Spring and Summer,No,Yes,Yellow,No,Gray-Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,20.0,165.0,No,Yes,Long,No,No,Erect,,Yes,Yes,Yes,,Yes,Low,Low,90.0,,Medium,6.0,3.3,260.0,38.0,36.0,,Tolerant,-28.0,Late Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,,No
Abies balsamea,,,,FAC,FAC,,FACW,FAC,,,Balsam Fir,15309.0,ABBA,0.0,15309.0,False,False,False,False,False,False,False,False,False,False,15.0,abba_002_thp.jpg,0.0,False,False,0.0,False,False,Abies balsamea (L.) Mill.,Spring and Summer,No,No,Yellow,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,18.0,60.0,No,Yes,Short,No,No,Conical,,Yes,Yes,Yes,,Yes,Low,Medium,80.0,Low,Medium,6.0,4.0,60.0,13.0,20.0,,Tolerant,-43.0,Mid Summer,Routinely Available,Medium,Fall,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,,Yes
Abies bifolia,,FACU,,,,,,,FACU,,Rocky Mountain Alpine Fir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies fraseri,,,,FACU,,,,FACU,,,Fraser's Fir,15319.0,ABFR,0.0,15319.0,False,False,False,False,False,False,False,False,False,False,6.0,abfr_002_thp.jpg,0.0,False,False,0.0,False,False,Abies fraseri (Pursh) Poir.,Spring and Summer,No,No,Purple,No,Dark Green,Moderate,Moderate,Medium,Brown,Yes,Single Stem,Moderate,20.0,55.0,No,Yes,Moderate,No,Yes,Erect,,Yes,No,Yes,Low,No,Low,Low,90.0,Low,Medium,5.5,3.5,100.0,45.0,6.0,Low,Tolerant,-23.0,Mid Spring,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,,Yes
Abies grandis,,FACU,,,,,,,FACU,,Grand Fir,15321.0,ABGR,0.0,15321.0,False,False,False,False,False,False,False,False,False,False,12.0,abgr_001_thp.jpg,0.0,False,False,0.0,False,False,Abies grandis (Douglas ex D. Don) Lindl.,Spring and Summer,No,No,,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Moderate,25.0,150.0,No,Yes,Long,No,No,Conical,,Yes,No,Yes,Low,Yes,Medium,Medium,60.0,Low,Medium,7.5,4.5,100.0,11.0,20.0,,Tolerant,-33.0,Late Spring,Field Collections Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,,Yes
Abies lasiocarpa,,FACU,,,,,,,FACU,UPL,Subalpine Fir,15328.0,ABLA,0.0,15328.0,False,False,False,False,False,False,False,False,False,False,18.0,abla_001_thp.jpg,0.0,False,False,0.0,False,False,Abies lasiocarpa (Hook.) Nutt.,Spring and Summer,No,No,,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,15.0,90.0,No,Yes,Long,No,No,Conical,,Yes,No,Yes,,Yes,Low,Medium,120.0,Low,Medium,6.5,4.0,150.0,20.0,40.0,,Tolerant,-51.0,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,,Yes
Abies procera,,FACU,,,,,,,FACU,,Noble Fir,15346.0,ABPR,0.0,15346.0,False,False,False,False,False,False,False,False,False,False,20.0,abpr_001_thp.jpg,0.0,False,False,0.0,False,False,Abies procera Rehder,Spring and Summer,No,No,,No,Dark Green,Dense,Dense,Medium,Purple,Yes,Single Stem,Rapid,25.0,230.0,No,Yes,Long,No,No,Erect,,Yes,No,Yes,,Yes,Low,Low,50.0,Low,Low,7.5,6.0,120.0,64.0,20.0,,Intermediate,-23.0,Late Spring,Contracting Only,Low,Spring,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,,Yes
Abildgaardia ovata,FACW,,FAC,,,FACW,,,,,Flat-Spike Sedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrus precatorius,UPL,,UPL,,,FAC,,,,,Rosary-Pea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
